city,datetime,temperature,humidity,windSpeed,description
Paris,2025-11-25 15:00:00,7.75,79,5.54,light rain
Paris,2025-11-25 18:00:00,6.28,76,4.72,overcast clouds
Paris,2025-11-25 21:00:00,5.23,75,4.25,overcast clouds
Paris,2025-11-26 00:00:00,4.59,78,3.29,light rain
Paris,2025-11-26 03:00:00,4.52,78,3.19,scattered clouds
Paris,2025-11-26 06:00:00,3.73,79,3.17,broken clouds
Paris,2025-11-26 09:00:00,5.29,79,2.8,scattered clouds
Paris,2025-11-26 12:00:00,7.7,68,2.97,broken clouds
Paris,2025-11-26 15:00:00,8.05,62,1.62,clear sky
Paris,2025-11-26 18:00:00,6.49,72,0.63,scattered clouds
Paris,2025-11-26 21:00:00,5.79,77,0.81,overcast clouds
Paris,2025-11-27 00:00:00,4.98,82,1.5,overcast clouds
Paris,2025-11-27 03:00:00,4.18,86,1.63,few clouds
Paris,2025-11-27 06:00:00,3.9,80,2.45,scattered clouds
Paris,2025-11-27 09:00:00,4.78,74,3.29,overcast clouds
Paris,2025-11-27 12:00:00,5.01,80,3.76,light rain
Paris,2025-11-27 15:00:00,5.21,86,3.72,light rain
Paris,2025-11-27 18:00:00,5.61,84,3.35,light rain
Paris,2025-11-27 21:00:00,5.15,90,3.15,overcast clouds
Paris,2025-11-28 00:00:00,5.99,90,3.26,overcast clouds
Paris,2025-11-28 03:00:00,6.02,92,3.26,overcast clouds
Paris,2025-11-28 06:00:00,6.39,94,3.12,light rain
Paris,2025-11-28 09:00:00,7.01,95,3.4,light rain
Paris,2025-11-28 12:00:00,7.79,94,3.15,light rain
Paris,2025-11-28 15:00:00,8.17,96,3.07,light rain
Paris,2025-11-28 18:00:00,8.34,97,1.82,light rain
Paris,2025-11-28 21:00:00,7.68,98,1.5,overcast clouds
Paris,2025-11-29 00:00:00,7.16,95,1.49,overcast clouds
Paris,2025-11-29 03:00:00,6.4,93,1.54,broken clouds
Paris,2025-11-29 06:00:00,5.78,92,2.07,broken clouds
Paris,2025-11-29 09:00:00,6.71,89,3.74,overcast clouds
Paris,2025-11-29 12:00:00,7.94,88,4.31,broken clouds
Paris,2025-11-29 15:00:00,8.93,85,4.16,light rain
Paris,2025-11-29 18:00:00,7.26,80,1.82,moderate rain
Paris,2025-11-29 21:00:00,6.72,81,3.05,overcast clouds
Paris,2025-11-30 00:00:00,5.92,82,3.51,broken clouds
Paris,2025-11-30 03:00:00,5.1,87,3.48,scattered clouds
Paris,2025-11-30 06:00:00,4.68,88,3.01,scattered clouds
Paris,2025-11-30 09:00:00,5.03,85,2.73,clear sky
Paris,2025-11-30 12:00:00,7.81,70,3.44,scattered clouds
